index_mol,type,File Name,smiles,homo,lumo,En,Ea,EA,stable,same_sml,G1aACN,G2aACN,G1aH2O,G2aH2O,G1aDMF,G2aDMF,G1aDMSO,G2aDMSO,G1aTHF,G2aTHF,G1nACN,G2nACN,G1nH2O,G2nH2O,G1nDMF,G2nDMF,G1nDMSO,G2nDMSO,G1nTHF,G2nTHF,RP_ACN,RP_H2O,RP_DMSO,RP_DMF,RP_THF,imaginary_a,stable_a,imaginary_n,stable_n,adj
0,nitro,str_130.xyz,C[C@@H]1c2c(O)cccc2C(C)(C)N1[O],-0.2768215,-0.008032,-17211.83813443398,-17212.50265900208,-0.6645245680992957,stable,same,-2.6554451625156794,-0.0928275527648162,-3.784388860143444,0.1850586320054838,-2.5232623301657435,-0.0856230668955818,-2.540693126030887,-0.026674774920279,-2.192684294691686,-0.1343477700133153,-0.5044370062993799,-0.0943361518605647,-0.8363916656596913,0.2515540011670388,-0.4460326698782621,-0.0876345323565798,-0.4493810306057484,-0.0270541016048882,-0.3829776359200886,-0.1385954669622029,2.814024125219847,3.679017131744604,2.755457336839825,2.7397427629257796,2.4699835299220054,False,True,False,True,stable
5,nitro,str_400.xyz,[O-][N+]1C2(CCCCC2)CCCC12CCCCC2,-0.2773609999999999,0.0020469999999999,-19504.04924407232,-19504.514443624328,-0.4651995520071068,stable,same,-2.326860360875741,-0.1888429190950533,-3.243540573829093,0.1478930524426381,-2.230066476866403,-0.1637205535977982,-2.2460493550207827,-0.0942188707981066,-1.9297240979444723,-0.2179536570573851,-0.1793929498675729,-0.1930029953893899,-0.2879701792310226,0.1733770572252918,-0.247414061296419,-0.1683908433309025,-0.2495496106657252,-0.0980499614671257,-0.2083513040828593,-0.2235202897597165,2.6085068867209382,3.4462539513878307,2.457868205693145,2.4431816778439868,2.1810057131663885,False,True,False,True,stable
8,nitro,str_668.xyz,CN(C)C1(N(C)C)c2cccc3cccc(c23)C[N+]1[O-],-0.261533,-0.0274835,-23423.379259261215,-23423.98667094515,-0.6074116839336057,stable,same,-2.6283475226973496,-0.1456094731476307,-3.685028398451729,0.2446548270195631,-2.514873060663232,-0.096188430728667,-2.5331348921774404,-0.0106385624544337,-2.1714330205970493,-0.1762103064649982,-0.4941647090655229,-0.1431604486415456,-0.7102818698571782,0.263843478252408,-0.4704396481059063,-0.0932125938399396,-0.4740331833978352,-0.0073881627071907,-0.4029559614992289,-0.1737727107399415,2.7440435220715176,3.6013468637610013,2.669763792460454,2.654820933379659,2.378326338756483,False,True,False,True,stable
11,nitro,str_808.xyz,Cc1cc2c3c(c(C)cc(C)c3c1)C(C)(C)[N+]([O-])C2(C)C,-0.2576825,-0.0169204999999999,-23619.591373096544,-23620.275891772824,-0.6845186762802768,stable,same,-2.712145249994396,-0.1448295948993596,-3.5975843457789556,0.2642189953433411,-2.623112052531007,-0.0863615838410835,-2.6432392243773513,0.0053840443197111,-2.2478034007948073,-0.1720336312267871,-0.4680545703508135,-0.1475512774671222,-0.6318619282616608,0.302631128379784,-0.4533073611166708,-0.0878130390316899,-0.457022259178568,0.0056724849837611,-0.3843844644419175,-0.1758505719764377,2.925887673356097,3.688653226834014,2.87102408214311,2.852871912504007,2.5441206718835163,False,True,False,True,stable
13,nitro,str_16.xyz,CC1(C)c2c[nH]nc2C(C)(C)N1[O],-0.281841,0.00019,-16070.08210332912,-16070.42447341759,-0.3423700884704885,stable,same,-2.936684606062478,0.0103903946378171,-3.938960946641844,0.1739335300158411,-2.8291814100018637,0.0438761788233529,-2.8492421860727086,0.1016592793614272,-2.450227793459107,-0.0089147213159838,-0.5973124510989819,0.0017543178878589,-0.8078063795108317,0.2308630094566277,-0.5765591453205826,0.0333799319041061,-0.5811361000086217,0.0932174918889518,-0.4912552679522938,-0.0213024314954303,2.6731061666840263,3.530454135042288,2.6020343870621003,2.584496106232523,2.2889549037978547,False,True,False,True,stable
14,nitro,str_272.xyz,CN(C)c1cc2c(cc1N(C)C)C(C)(C)N([O])C2(C)C,-0.2471885,-0.000401,-23520.134152623505,-23520.477596473167,-0.3434438496624352,stable,same,-2.804718104210579,-0.0980940439082353,-3.843080004545608,0.3456044335018937,-2.695312832450239,-0.049344850545441,-2.7152737427440026,0.0422644485845149,-2.320461331955175,-0.132096572264555,-0.4753069482548335,-0.1074406098787921,-0.695859292427009,0.405057496639284,-0.4528434070296848,-0.0610735010189166,-0.4564388471184517,0.0320925613554074,-0.385838640770864,-0.1454312385863545,2.663508439647624,3.5501176249184248,2.592106858058879,2.5741846246095132,2.2647318745249465,False,True,False,True,stable
16,nitro,str_720.xyz,CO[C@]1(C)c2cccc3cccc(c23)C(C)(C)[N+]1[O-],-0.269775,-0.0276975,-22459.59420663935,-22460.464149124404,-0.8699424850528885,stable,same,-1.7604543269297197,-0.108042797793455,-2.1632603537064092,0.2737440679890081,-1.728734561526905,-0.064536693784355,-1.741072746988562,0.0157268190365765,-1.495937094824304,-0.1396850107535768,-0.4763491442390897,-0.110399847823645,-0.7392443057799748,0.3058020708874963,-0.4504898944793369,-0.0678360740217196,-0.4539922716368727,0.0135469151123268,-0.3849398487771308,-0.1441079490115665,2.1516906177133284,2.326016535877811,2.154843056480328,2.144887771863091,1.976516792842072,False,True,False,True,stable
17,nitro,str_479.xyz,[O-][N+]1[C@H](O)CCC[C@@H]1O,-0.3186555,-0.0151059999999999,-12973.832983426566,-12975.1586382148,-1.3256547882338054,stable,same,-2.44525872273626,-0.0807691003245211,-3.360686939939334,0.053603976275357,-2.3276367016441704,-0.1263781000428463,-2.342297106565264,-0.0981860183841305,-2.0455561542364484,-0.1355646630790056,-0.3494453202689371,-0.0845027742409649,-0.6727701614974725,0.1197953942843235,-0.3051870936226349,-0.1283090198089774,-0.307548497474169,-0.097999620407834,-0.2610358077130984,-0.1406001295773506,3.4177345167846847,4.079762984684633,3.360589795301197,3.3461734764892097,3.1051396682588104,False,True,False,True,stable
19,nitro,str_7.xyz,CC1(C)c2ccncc2C(C)(C)N1[O],-0.291792,-0.0125779999999999,-16670.56384493273,-16671.178536478066,-0.6146915453355177,stable,same,-2.552068300633984,-0.0459877821752663,-3.5334892927471984,0.1480993147288172,-2.447381482755368,-0.0074186394565998,-2.464159205418889,0.0566070245474854,-2.129043127535056,-0.0667304755141392,-0.4965791751146888,-0.0521674873456211,-0.6990680587576484,0.2055330211040234,-0.4763785325331627,-0.0153978334112591,-0.4802308480812347,0.0503394266087455,-0.4047565387388695,-0.0764680690641676,2.664000965684458,3.5065464857002735,2.5923523047344323,2.577715301603064,2.329240540581676,False,True,False,True,stable
20,nitro,str_50.xyz,Cc1coc2c1C(C)(C)N([O])C2(C)C,-0.2680785,0.000451,-17243.103621301405,-17243.497708800936,-0.3940874995314516,stable,same,-2.624954263187252,-0.0457651930590465,-3.6400754651872007,0.2615065646459348,-2.51171844498556,-0.0308035581237045,-2.5290599875131488,0.0309344448778631,-2.1828266989408593,-0.0832954051594649,-0.3552859716021161,-0.0510969915226279,-0.5769251384273253,0.3214322895129995,-0.160464167346207,-0.0378039586174318,-0.161643508702804,0.025608088690962,-0.138221854668108,-0.0921480845212946,2.658423992653006,3.517163551158392,2.7561776221548953,2.7383413766770777,2.429839664442373,False,True,False,True,stable
