_id,smiles,canonical_smiles,source_group,groundState_charge,reduction_potential,record_count,target_min,target_max,target_range,decision
81GXPC,C[C@H]1[C@@H](C)S(=O)(=O)CCN1S(=O)(=O)CCc1ccccc1,C[C@@H]1[C@H](C)N(S(=O)(=O)CCc2ccccc2)CCS1(=O)=O,Zinc,0.0,6.685,2,5.47,6.685,1.2149999999999999,exclude_conflict
81UBMI,C[C@@H]1[C@H](C)N(S(=O)(=O)CCc2ccccc2)CCS1(=O)=O,C[C@@H]1[C@H](C)N(S(=O)(=O)CCc2ccccc2)CCS1(=O)=O,Zinc,0.0,5.47,2,5.47,6.685,1.2149999999999999,exclude_conflict
06OLDZ,C[C@H]1CN([C@@H](NC(=O)c2ccco2)C(Cl)(Cl)Cl)C[C@@H](C)O1,C[C@@H]1CN([C@@H](NC(=O)c2ccco2)C(Cl)(Cl)Cl)C[C@H](C)O1,Risko,0.0,6.191,2,6.191,7.081,0.8900000000000006,exclude_conflict
06RJEE,C[C@@H]1CN([C@@H](NC(=O)c2ccco2)C(Cl)(Cl)Cl)C[C@H](C)O1,C[C@@H]1CN([C@@H](NC(=O)c2ccco2)C(Cl)(Cl)Cl)C[C@H](C)O1,Zinc,0.0,7.081,2,6.191,7.081,0.8900000000000006,exclude_conflict
06LEWD,C[C@@H](C(=O)N[C@H](C)c1ccc(Br)cc1)c1cccs1,C[C@@H](NC(=O)[C@H](C)c1cccs1)c1ccc(Br)cc1,Risko,0.0,5.743,2,5.743,6.527,0.7839999999999998,exclude_conflict
06JWMI,C[C@@H](NC(=O)[C@H](C)c1cccs1)c1ccc(Br)cc1,C[C@@H](NC(=O)[C@H](C)c1cccs1)c1ccc(Br)cc1,Zinc,0.0,6.527,2,5.743,6.527,0.7839999999999998,exclude_conflict
06SMTU,C[C@@H](CNC(=O)[C@H](C)NC(=O)Nc1ccccc1)Oc1ccccc1,C[C@H](NC(=O)Nc1ccccc1)C(=O)NC[C@H](C)Oc1ccccc1,Risko,0.0,5.094,2,5.094,5.422,0.3279999999999994,exclude_conflict
06QXYA,C[C@H](NC(=O)Nc1ccccc1)C(=O)NC[C@H](C)Oc1ccccc1,C[C@H](NC(=O)Nc1ccccc1)C(=O)NC[C@H](C)Oc1ccccc1,Zinc,0.0,5.422,2,5.094,5.422,0.3279999999999994,exclude_conflict
06TTGF,C[C@@H]([C@@H](C)N(C)C(=O)c1cc(Cl)c2ccccc2c1O)S(C)(=O)=O,C[C@H]([C@H](C)S(C)(=O)=O)N(C)C(=O)c1cc(Cl)c2ccccc2c1O,Risko,0.0,6.665,2,6.412,6.665,0.2530000000000001,exclude_conflict
06FBUW,C[C@H]([C@H](C)S(C)(=O)=O)N(C)C(=O)c1cc(Cl)c2ccccc2c1O,C[C@H]([C@H](C)S(C)(=O)=O)N(C)C(=O)c1cc(Cl)c2ccccc2c1O,Zinc,0.0,6.412,2,6.412,6.665,0.2530000000000001,exclude_conflict
06VLQR,Cc1cccc(C)c1NC(=O)COC(=O)[C@H]1[C@H]2C[C@H]3OC(=O)[C@@H]1[C@H]3C2,Cc1cccc(C)c1NC(=O)COC(=O)[C@H]1[C@@H]2C[C@@H]3[C@H]1C(=O)O[C@@H]3C2,Risko,0.0,6.035,2,5.808,6.035,0.2270000000000003,exclude_conflict
06ATMM,Cc1cccc(C)c1NC(=O)COC(=O)[C@H]1[C@@H]2C[C@@H]3[C@H]1C(=O)O[C@@H]3C2,Cc1cccc(C)c1NC(=O)COC(=O)[C@H]1[C@@H]2C[C@@H]3[C@H]1C(=O)O[C@@H]3C2,Zinc,0.0,5.808,2,5.808,6.035,0.2270000000000003,exclude_conflict
81WSFG,C[C@@H](OC(=O)c1cnn(C)c1)C(=O)N[C@@H]1CCC[C@@H](C)[C@H]1C,C[C@@H]1[C@H](C)CCC[C@H]1NC(=O)[C@@H](C)OC(=O)c1cnn(C)c1,Risko,0.0,5.883,2,5.883,6.067,0.18400000000000016,exclude_conflict
06JDXM,C[C@@H]1[C@H](C)CCC[C@H]1NC(=O)[C@@H](C)OC(=O)c1cnn(C)c1,C[C@@H]1[C@H](C)CCC[C@H]1NC(=O)[C@@H](C)OC(=O)c1cnn(C)c1,Zinc,0.0,6.067,2,5.883,6.067,0.18400000000000016,exclude_conflict
06LRJR,C[C@@H]1CCC[C@@H](n2c(CCl)nc3cccnc32)[C@@H]1C,C[C@@H]1[C@H](C)CCC[C@H]1n1c(CCl)nc2cccnc21,Risko,0.0,7.236,2,7.077,7.236,0.1589999999999998,exclude_conflict
06HJFO,C[C@@H]1[C@H](C)CCC[C@H]1n1c(CCl)nc2cccnc21,C[C@@H]1[C@H](C)CCC[C@H]1n1c(CCl)nc2cccnc21,Zinc,0.0,7.077,2,7.077,7.236,0.1589999999999998,exclude_conflict
06SZBY,CNC(=O)c1cccc(NCC(=O)N2[C@@H](C)CCC[C@H]2C)c1C,CNC(=O)c1cccc(NCC(=O)N2[C@H](C)CCC[C@@H]2C)c1C,Risko,0.0,5.716,2,5.716,5.867,0.1509999999999998,exclude_conflict
06BKVF,CNC(=O)c1cccc(NCC(=O)N2[C@H](C)CCC[C@@H]2C)c1C,CNC(=O)c1cccc(NCC(=O)N2[C@H](C)CCC[C@@H]2C)c1C,Zinc,0.0,5.867,2,5.716,5.867,0.1509999999999998,exclude_conflict
06WWWL,C=CCOc1c(CN2C[C@H](C)S[C@H](C)C2)c(C)nn1C,C=CCOc1c(CN2C[C@@H](C)S[C@@H](C)C2)c(C)nn1C,Risko,0.0,7.06,2,7.06,7.159,0.0990000000000002,exclude_conflict
06ERGS,C=CCOc1c(CN2C[C@@H](C)S[C@@H](C)C2)c(C)nn1C,C=CCOc1c(CN2C[C@@H](C)S[C@@H](C)C2)c(C)nn1C,Zinc,0.0,7.159,2,7.06,7.159,0.0990000000000002,exclude_conflict
06OCMY,C[C@H]1COC[C@@H](C)N1C(=O)CN1C(=O)CSc2ccccc21,C[C@@H]1COC[C@H](C)N1C(=O)CN1C(=O)CSc2ccccc21,Risko,0.0,6.351,2,6.27,6.351,0.0810000000000004,exclude_conflict
06BMHFFI,C[C@@H]1COC[C@H](C)N1C(=O)CN1C(=O)CSc2ccccc21,C[C@@H]1COC[C@H](C)N1C(=O)CN1C(=O)CSc2ccccc21,Zinc,0.0,6.27,2,6.27,6.351,0.0810000000000004,exclude_conflict
06TNSP,COc1cccc(C2=C[C@@H](C(=O)N3[C@@H](C)CCC[C@H]3C)N=N2)c1,COc1cccc(C2=C[C@@H](C(=O)N3[C@H](C)CCC[C@@H]3C)N=N2)c1,Risko,0.0,6.98,2,6.98,7.053,0.07299999999999951,exclude_conflict
