dataset_id,dataset_version,canonical_smiles,original_ids,representative_smiles,source_groups,groundState_charge,reduction_potential,duplicate_count,target_min,target_max,target_range,cleaning_action,murcko_scaffold
D3R_000001,D3TaLES-Reduction-v1,B1C=CC1c1ccccc1,02EPYL,B1C=CC1c1ccccc1,Ganapathysubramanian,0.0,6.523,1,6.523,6.523,0.0,kept_unique,B1C=CC1c1ccccc1
D3R_000002,D3TaLES-Reduction-v1,B1C=CC=C(c2ccccn2)N1,80TVDV,B1C=CC=C(c2ccccn2)N1,csd,0.0,6.693,1,6.693,6.693,0.0,kept_unique,B1C=CC=C(c2ccccn2)N1
D3R_000003,D3TaLES-Reduction-v1,BrB(Br)c1ccc(Br)cc1,80IGXY,BrB(Br)c1ccc(Br)cc1,csd,0.0,7.366,1,7.366,7.366,0.0,kept_unique,c1ccccc1
D3R_000004,D3TaLES-Reduction-v1,BrC/C=C/c1c[nH]c2ncccc12,81URMC,BrC/C=C/c1c[nH]c2ncccc12,Zinc,0.0,9.084,1,9.084,9.084,0.0,kept_unique,c1cnc2[nH]ccc2c1
D3R_000005,D3TaLES-Reduction-v1,BrC1=C(Br)C2C=CC1c1ccccc12,80YIAU,BrC1=C(Br)C2C=CC1c1ccccc12,csd,0.0,6.684,1,6.684,6.684,0.0,kept_unique,C1=CC2C=CC1c1ccccc12
D3R_000006,D3TaLES-Reduction-v1,BrC1=CC(Br)C(Br)(Br)C=C(Br)c2ccccc21,80ZTXC,BrC1=CC(Br)C(Br)(Br)C=C(Br)c2ccccc21,csd,0.0,8.479,1,8.479,8.479,0.0,kept_unique,C1=Cc2ccccc2C=CCC1
D3R_000007,D3TaLES-Reduction-v1,BrC1=CC=CC=C(Br)c2ccccc21,80HFXU,BrC1=CC=CC=C(Br)c2ccccc21,csd,0.0,7.066,1,7.066,7.066,0.0,kept_unique,C1=CC=Cc2ccccc2C=C1
D3R_000008,D3TaLES-Reduction-v1,BrC1=CC=CN2B1C=Cc1ccccc12,80MRIZ,BrC1=CC=CN2B1C=Cc1ccccc12,csd,0.0,6.477,1,6.477,6.477,0.0,kept_unique,C1=CB2C=Cc3ccccc3N2C=C1
D3R_000009,D3TaLES-Reduction-v1,BrC1=CN=CNC1c1ccc[nH]1,80SATR,BrC1=CN=CNC1c1ccc[nH]1,csd,0.0,6.719,1,6.719,6.719,0.0,kept_unique,C1=CC(c2ccc[nH]2)NC=N1
D3R_000010,D3TaLES-Reduction-v1,BrC=C1C=CC=C(Br)C12CCc1c(Br)cccc1C2Br,80PHRI,BrC=C1C=CC=C(Br)C12CCc1c(Br)cccc1C2Br,csd,0.0,7.138,1,7.138,7.138,0.0,kept_unique,C=C1C=CC=CC12CCc1ccccc1C2
D3R_000011,D3TaLES-Reduction-v1,BrCC1O[C@H](c2ccccc2)[C@@H](c2ccccc2)O1,06FVII,BrCC1O[C@H](c2ccccc2)[C@@H](c2ccccc2)O1,Zinc,0.0,6.105,1,6.105,6.105,0.0,kept_unique,c1ccc([C@H]2OCO[C@@H]2c2ccccc2)cc1
D3R_000012,D3TaLES-Reduction-v1,BrCCC1(c2ccccc2)C=CCC=C1,80BWXX,BrCCC1(c2ccccc2)C=CCC=C1,csd,0.0,7.108,1,7.108,7.108,0.0,kept_unique,C1=CC(c2ccccc2)C=CC1
D3R_000013,D3TaLES-Reduction-v1,BrCCC[C@H]1Cc2ccccc2S1,81KPRV,BrCCC[C@H]1Cc2ccccc2S1,Zinc,0.0,5.513,1,5.513,5.513,0.0,kept_unique,c1ccc2c(c1)CCS2
D3R_000014,D3TaLES-Reduction-v1,BrCCc1noc2ccccc12,81PCTI,BrCCc1noc2ccccc12,Zinc,0.0,7.174,1,7.174,7.174,0.0,kept_unique,c1ccc2oncc2c1
D3R_000015,D3TaLES-Reduction-v1,BrCc1c(OCc2nccs2)ccc2ccccc12,81GVOF,BrCc1c(OCc2nccs2)ccc2ccccc12,Zinc,0.0,9.415,1,9.415,9.415,0.0,kept_unique,c1ccc2cc(OCc3nccs3)ccc2c1
D3R_000016,D3TaLES-Reduction-v1,BrCc1ccc(OC[C@@H]2CCOC2)cn1,06MKOA,BrCc1ccc(OC[C@@H]2CCOC2)cn1,Zinc,0.0,7.719,1,7.719,7.719,0.0,kept_unique,c1cncc(OC[C@@H]2CCOC2)c1
D3R_000017,D3TaLES-Reduction-v1,BrCc1ccc(OC[C@@H]2COc3ccccc32)cn1,81OMGJ,BrCc1ccc(OC[C@@H]2COc3ccccc32)cn1,Zinc,0.0,7.831,1,7.831,7.831,0.0,kept_unique,c1cncc(OC[C@@H]2COc3ccccc32)c1
D3R_000018,D3TaLES-Reduction-v1,Br[C@@H](Cc1nc2ccccc2o1)[C@H]1CCCOC1,81XYQW,Br[C@@H](Cc1nc2ccccc2o1)[C@H]1CCCOC1,Zinc,0.0,8.393,1,8.393,8.393,0.0,kept_unique,c1ccc2oc(CC[C@H]3CCCOC3)nc2c1
D3R_000019,D3TaLES-Reduction-v1,Br[C@H](Cc1ccc2ccccc2n1)[C@H]1CCCCO1,81YMQY,Br[C@H](Cc1ccc2ccccc2n1)[C@H]1CCCCO1,Zinc,0.0,6.517,1,6.517,6.517,0.0,kept_unique,c1ccc2nc(CC[C@H]3CCCCO3)ccc2c1
D3R_000020,D3TaLES-Reduction-v1,Br[C@H](Cc1ccncc1)[C@@H]1COCCO1,81JYOV,Br[C@H](Cc1ccncc1)[C@@H]1COCCO1,Zinc,0.0,6.666,1,6.666,6.666,0.0,kept_unique,c1cc(CC[C@@H]2COCCO2)ccn1
D3R_000021,D3TaLES-Reduction-v1,Br[C@H]1CCCC[C@H]1Cc1nccs1,81IATT,Br[C@H]1CCCC[C@H]1Cc1nccs1,Zinc,0.0,8.935,1,8.935,8.935,0.0,kept_unique,c1csc(CC2CCCCC2)n1
D3R_000022,D3TaLES-Reduction-v1,Br[C@H]1CCC[C@@H]1C[C@H]1COc2ccccc21,06SGAA,Br[C@H]1CCC[C@@H]1C[C@H]1COc2ccccc21,Zinc,0.0,5.423,1,5.423,5.423,0.0,kept_unique,c1ccc2c(c1)OC[C@@H]2CC1CCCC1
