dataset_id,canonical_smiles,murcko_scaffold,scaffold_key,split
D3R_000001,B1C=CC1c1ccccc1,B1C=CC1c1ccccc1,B1C=CC1c1ccccc1,valid
D3R_000002,B1C=CC=C(c2ccccn2)N1,B1C=CC=C(c2ccccn2)N1,B1C=CC=C(c2ccccn2)N1,valid
D3R_000003,BrB(Br)c1ccc(Br)cc1,c1ccccc1,c1ccccc1,train
D3R_000004,BrC/C=C/c1c[nH]c2ncccc12,c1cnc2[nH]ccc2c1,c1cnc2[nH]ccc2c1,train
D3R_000005,BrC1=C(Br)C2C=CC1c1ccccc12,C1=CC2C=CC1c1ccccc12,C1=CC2C=CC1c1ccccc12,train
D3R_000006,BrC1=CC(Br)C(Br)(Br)C=C(Br)c2ccccc21,C1=Cc2ccccc2C=CCC1,C1=Cc2ccccc2C=CCC1,test
D3R_000007,BrC1=CC=CC=C(Br)c2ccccc21,C1=CC=Cc2ccccc2C=C1,C1=CC=Cc2ccccc2C=C1,train
D3R_000008,BrC1=CC=CN2B1C=Cc1ccccc12,C1=CB2C=Cc3ccccc3N2C=C1,C1=CB2C=Cc3ccccc3N2C=C1,test
D3R_000009,BrC1=CN=CNC1c1ccc[nH]1,C1=CC(c2ccc[nH]2)NC=N1,C1=CC(c2ccc[nH]2)NC=N1,train
D3R_000010,BrC=C1C=CC=C(Br)C12CCc1c(Br)cccc1C2Br,C=C1C=CC=CC12CCc1ccccc1C2,C=C1C=CC=CC12CCc1ccccc1C2,valid
D3R_000011,BrCC1O[C@H](c2ccccc2)[C@@H](c2ccccc2)O1,c1ccc([C@H]2OCO[C@@H]2c2ccccc2)cc1,c1ccc(C2OCOC2c2ccccc2)cc1,test
D3R_000012,BrCCC1(c2ccccc2)C=CCC=C1,C1=CC(c2ccccc2)C=CC1,C1=CC(c2ccccc2)C=CC1,train
D3R_000013,BrCCC[C@H]1Cc2ccccc2S1,c1ccc2c(c1)CCS2,c1ccc2c(c1)CCS2,train
D3R_000014,BrCCc1noc2ccccc12,c1ccc2oncc2c1,c1ccc2oncc2c1,train
D3R_000015,BrCc1c(OCc2nccs2)ccc2ccccc12,c1ccc2cc(OCc3nccs3)ccc2c1,c1ccc2cc(OCc3nccs3)ccc2c1,train
D3R_000016,BrCc1ccc(OC[C@@H]2CCOC2)cn1,c1cncc(OC[C@@H]2CCOC2)c1,c1cncc(OCC2CCOC2)c1,train
D3R_000017,BrCc1ccc(OC[C@@H]2COc3ccccc32)cn1,c1cncc(OC[C@@H]2COc3ccccc32)c1,c1cncc(OCC2COc3ccccc32)c1,train
D3R_000018,Br[C@@H](Cc1nc2ccccc2o1)[C@H]1CCCOC1,c1ccc2oc(CC[C@H]3CCCOC3)nc2c1,c1ccc2oc(CCC3CCCOC3)nc2c1,train
D3R_000019,Br[C@H](Cc1ccc2ccccc2n1)[C@H]1CCCCO1,c1ccc2nc(CC[C@H]3CCCCO3)ccc2c1,c1ccc2nc(CCC3CCCCO3)ccc2c1,valid
D3R_000020,Br[C@H](Cc1ccncc1)[C@@H]1COCCO1,c1cc(CC[C@@H]2COCCO2)ccn1,c1cc(CCC2COCCO2)ccn1,train
D3R_000021,Br[C@H]1CCCC[C@H]1Cc1nccs1,c1csc(CC2CCCCC2)n1,c1csc(CC2CCCCC2)n1,train
D3R_000022,Br[C@H]1CCC[C@@H]1C[C@H]1COc2ccccc21,c1ccc2c(c1)OC[C@@H]2CC1CCCC1,c1ccc2c(c1)OCC2CC1CCCC1,train
D3R_000023,Br[C@H]1c2ccccc2CC[C@@H]1Cc1nccs1,c1ccc2c(c1)CC[C@H](Cc1nccs1)C2,c1ccc2c(c1)CCC(Cc1nccs1)C2,valid
D3R_000024,Brc1c2c(c(Br)c3c1C1C=CC3O1)C1C=CC2O1,C1=CC2OC1c1cc3c(cc12)C1C=CC3O1,C1=CC2OC1c1cc3c(cc12)C1C=CC3O1,train
D3R_000025,Brc1cc(Br)nc([C@@H]2CCOC2)c1,c1ccc([C@@H]2CCOC2)nc1,c1ccc(C2CCOC2)nc1,train
D3R_000026,Brc1cc([C@@H]2CCCS2)ccn1,c1cc([C@@H]2CCCS2)ccn1,c1cc(C2CCCS2)ccn1,train
D3R_000027,Brc1cc2c(cc1/C=N\Nc1ccccn1)OCO2,C(=N\Nc1ccccn1)\c1ccc2c(c1)OCO2,C(=NNc1ccccn1)c1ccc2c(c1)OCO2,train
D3R_000028,Brc1cc2c(s1)CN(C[C@H]1CCCCO1)CC2,c1cc2c(s1)CN(C[C@H]1CCCCO1)CC2,c1cc2c(s1)CN(CC1CCCCO1)CC2,test
D3R_000029,Brc1ccc(C#CI)cc1,c1ccccc1,c1ccccc1,train
D3R_000030,Brc1ccc(CNn2cccc2)o1,c1coc(CNn2cccc2)c1,c1coc(CNn2cccc2)c1,train
D3R_000031,Brc1ccc(I)cc1,c1ccccc1,c1ccccc1,train
D3R_000032,Brc1ccc(NCCCOC[C@@H]2CCOC2)nc1,c1ccc(NCCCOC[C@@H]2CCOC2)nc1,c1ccc(NCCCOCC2CCOC2)nc1,valid
D3R_000033,Brc1ccc(NCc2cccs2)nc1,c1ccc(NCc2cccs2)nc1,c1ccc(NCc2cccs2)nc1,train
D3R_000034,Brc1ccc2c(c1)N=S=NS2,c1ccc2c(c1)N=S=NS2,c1ccc2c(c1)N=S=NS2,train
D3R_000035,Brc1ccc2c(c1)SN=S=N2,c1ccc2c(c1)N=S=NS2,c1ccc2c(c1)N=S=NS2,train
D3R_000036,Brc1cccc(OCCNc2ncnc3[nH]cnc23)c1,c1ccc(OCCNc2ncnc3[nH]cnc23)cc1,c1ccc(OCCNc2ncnc3[nH]cnc23)cc1,train
D3R_000037,Brc1cccc(OCCn2ccnc2)c1,c1ccc(OCCn2ccnc2)cc1,c1ccc(OCCn2ccnc2)cc1,test
D3R_000038,Brc1cccc2c1N=S=NS2,c1ccc2c(c1)N=S=NS2,c1ccc2c(c1)N=S=NS2,train
D3R_000039,Brc1cccc2c1SN=S=N2,c1ccc2c(c1)N=S=NS2,c1ccc2c(c1)N=S=NS2,train
D3R_000040,Brc1ccccc1,c1ccccc1,c1ccccc1,train
D3R_000041,Brc1ccccc1N1CCCC1,c1ccc(N2CCCC2)cc1,c1ccc(N2CCCC2)cc1,train
D3R_000042,Brc1cccnc1Sc1ccccn1,c1ccc(Sc2ccccn2)nc1,c1ccc(Sc2ccccn2)nc1,train
D3R_000043,Brc1ccnc(C2CCCC2)n1,c1cnc(C2CCCC2)nc1,c1cnc(C2CCCC2)nc1,valid
D3R_000044,Brc1cn2c(CNCc3ccccn3)cnc2cn1,c1ccc(CNCc2cnc3cnccn23)nc1,c1ccc(CNCc2cnc3cnccn23)nc1,train
D3R_000045,Brc1cn2ccnc2c(NC23CC4CC(CC(C4)C2)C3)n1,c1cn2ccnc2c(NC23CC4CC(CC(C4)C2)C3)n1,c1cn2ccnc2c(NC23CC4CC(CC(C4)C2)C3)n1,valid
D3R_000046,Brc1cn2ccnc2c(N[C@H]2CCCOC2)n1,c1cn2ccnc2c(N[C@H]2CCCOC2)n1,c1cn2ccnc2c(NC2CCCOC2)n1,valid
D3R_000047,Brc1cn2ccnc2c(Sc2cc3ccccc3[nH]2)n1,c1ccc2[nH]c(Sc3nccn4ccnc34)cc2c1,c1ccc2[nH]c(Sc3nccn4ccnc34)cc2c1,test
D3R_000048,Brc1cnc(C2CCCCC2)s1,c1csc(C2CCCCC2)n1,c1csc(C2CCCCC2)n1,test
D3R_000049,Brc1cnc(I)nc1,c1cncnc1,c1cncnc1,train
