smiles,n_success_mut,n_failures_mut,LinComb(1-(SigmLin(redox_potential_-1)); SigmLin(redox_potential)),1-(SigmLin(redox_potential_-1)),SigmLin(redox_potential_-1),redox_potential_-1,SigmLin(redox_potential),redox_potential,total,obj_computation_time,history_data
CCPCl,0,0,0.5,0.0,1.0,1.1033364534378052,1.0,1.1033364534378052,0.5,0.04146599769592285,C|AddA-15|Sub-8|ChB-1406|AddA-12|MoveFG-2|AddA-12_CutA-0|Sub-22_InsA-0
N,5,1,0.5,0.0,1.0,0.6800122261047363,1.0,0.6800122261047363,0.5,0.016481637954711914,C|Sub-1
CBr,5,0,0.5,0.0,1.0,1.3434268236160278,1.0,1.3434268236160278,0.5,0.021878957748413086,C|AddA-15
CC,4,0,0.5,0.0,1.0,0.7720221281051636,1.0,0.7720221281051636,0.5,0.03245091438293457,C|AddA-15|Sub-8
NBr,4,0,0.5,0.0,1.0,1.5023244619369507,1.0,1.5023244619369507,0.5,0.0170290470123291,C|Sub-1|AddA-15
CS,4,0,0.5,0.0,1.0,0.8581949472427368,1.0,0.8581949472427368,0.5,0.020737171173095703,C|AddA-13
CSS,3,0,0.5,0.0,1.0,1.3372762203216553,1.0,1.3372762203216553,0.5,0.041785240173339844,C|AddA-13|AddA-21
OBr,3,0,0.5,0.0,1.0,2.0780959129333496,1.0,2.0780959129333496,0.5,0.016258955001831055,C|Sub-1|AddA-15|Sub-2
CCC,3,0,0.5,0.0,1.0,0.8114511370658875,1.0,0.8114511370658875,0.5,0.036566972732543945,C|AddA-15|Sub-8|InsA-0
CCBr,2,0,0.5,0.0,1.0,1.3670368194580078,1.0,1.3670368194580078,0.5,0.040106773376464844,C|AddA-15|InsA-0
NP,2,0,0.5,0.0,1.0,0.7065226435661316,1.0,0.7065226435661316,0.5,0.024580717086791992,C|Sub-1|AddA-12
FNS,1,0,0.5,0.0,1.0,1.6974214315414429,1.0,1.6974214315414429,0.5,0.018697023391723633,C|Sub-1|AddA-12|Sub-11_AddA-13
OC(CPBr)OCCl,0,0,0.5,0.0,1.0,1.4309782981872559,1.0,1.4309782981872559,0.5,0.08570218086242676,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30|InsA-0|AddA-23|InsA-3_AddA-58
CCN,1,0,0.5,0.0,1.0,0.8144412636756897,1.0,0.8144412636756897,0.5,0.038218021392822266,C|AddA-15|Sub-8|InsA-0|MoveFG-1406_Sub-17
O,1,0,0.5,0.0,1.0,1.1168124675750732,1.0,1.1168124675750732,0.5,0.014778852462768555,C|Sub-1|AddA-15|Sub-2|RmA-1
CSF,3,0,0.5,0.0,1.0,1.3644320964813232,1.0,1.3644320964813232,0.5,0.02081012725830078,C|AddA-13|AddA-21|Sub-19
C=[SH]N,2,0,0.5,0.0,1.0,1.1621984243392944,1.0,1.1621984243392944,0.5,0.03367924690246582,C|AddA-13|ChB-1406_AddA-17
ClNBr,2,0,0.5,0.0,1.0,1.725469708442688,1.0,1.725469708442688,0.5,0.017952680587768555,C|Sub-1|AddA-15|AddA-14
C#C,3,0,0.5,0.0,1.0,1.3698581457138062,1.0,1.3698581457138062,0.5,0.016842126846313477,C|AddA-15|Sub-8|ChB-2109
SBr,3,0,0.5,0.0,1.0,1.9496110677719116,1.0,1.9496110677719116,0.5,0.014943122863769531,C|AddA-15|Sub-5
NCl,4,1,0.5,0.0,1.0,1.1745052337646484,1.0,1.1745052337646484,0.5,0.017026185989379883,C|Sub-1|AddA-14
NCCl,3,0,0.5,0.0,1.0,1.0094038248062134,1.0,1.0094038248062134,0.5,0.03835797309875488,C|Sub-1|AddA-14|InsA-0
C=CCBr,4,0,0.5,0.0,1.0,1.2450933456420898,1.0,1.2450933456420898,0.5,0.04417014122009277,C|AddA-15|InsA-0|InsA-37_ChB-1407
S,0,3,0.5,0.0,1.0,0.7763682007789612,1.0,0.7763682007789612,0.5,0.015889883041381836,C|Sub-1|Sub-5
CN(C)CF,0,0,0.5,0.0,1.0,1.0679734945297241,1.0,1.0679734945297241,0.5,0.051126956939697266,C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|InsA-2|Sub-3|Sub-25
CF,4,0,0.5,0.0,1.0,0.9503915905952454,1.0,0.9503915905952454,0.5,0.020809173583984375,C|AddA-15|Sub-8|Sub-3
Br,3,2,0.5,0.0,1.0,1.1582566499710083,1.0,1.1582566499710083,0.5,0.012163639068603516,C|Sub-1|AddA-15|Sub-7_RmA-1
CCCS,4,0,0.5,0.0,1.0,0.907734751701355,1.0,0.907734751701355,0.5,0.05353498458862305,C|AddA-13|InsA-0_InsA-37
SCS,5,0,0.5,0.0,1.0,0.9832349419593811,1.0,0.9832349419593811,0.5,0.029790163040161133,C|AddA-13|AddA-21|MoveFG-1406
COP,4,0,0.5,0.0,1.0,0.8327972292900085,1.0,0.8327972292900085,0.5,0.03304696083068848,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12
CCCC,5,0,0.5,0.0,1.0,0.828458309173584,1.0,0.828458309173584,0.5,0.055278778076171875,C|AddA-15|Sub-8|InsA-0|InsA-37
CCC(C)P,4,0,0.5,0.0,1.0,0.823493480682373,1.0,0.823493480682373,0.5,0.06715202331542969,C|AddA-15|Sub-8|InsA-0|InsA-37|AddA-28
POCCl,4,0,0.5,0.0,1.0,1.057587742805481,1.0,1.057587742805481,0.5,0.04491090774536133,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30
CN,4,0,0.5,0.0,1.0,0.7710415124893188,1.0,0.7710415124893188,0.5,0.02845597267150879,C|Sub-1|AddA-8
PCBr,3,0,0.5,0.0,1.0,1.2996352910995483,1.0,1.2996352910995483,0.5,0.029536008834838867,C|AddA-15|AddA-12
C=C,4,0,0.5,0.0,1.0,1.076478362083435,1.0,1.076478362083435,0.5,0.019977807998657227,C|AddA-15|Sub-8|ChB-1406
BrNBr,4,0,0.5,0.0,1.0,1.966569423675537,1.0,1.966569423675537,0.5,0.01673412322998047,C|Sub-1|AddA-15|AddA-13_Sub-23
NCS,3,0,0.5,0.0,1.0,0.8938882946968079,1.0,0.8938882946968079,0.5,0.06211400032043457,C|AddA-13|AddA-9
CSCS,2,0,0.5,0.0,1.0,0.9869365096092224,1.0,0.9869365096092224,0.5,0.0365293025970459,C|AddA-13|AddA-21|InsA-37
OCBr,3,0,0.5,0.0,1.0,1.5940076112747192,1.0,1.5940076112747192,0.5,0.018227100372314453,C|Sub-1|AddA-15|Sub-2|InsA-0
C1#CC1,3,0,0.5,0.0,1.0,1.1776942014694214,1.0,1.1776942014694214,0.5,0.06639313697814941,C|AddA-15|Sub-8|InsA-0|ChB-2109
CCS,2,0,0.5,0.0,1.0,0.8882040977478027,1.0,0.8882040977478027,0.5,0.03577995300292969,C|AddA-15|Sub-8|InsA-0|ChB-2109|Sub-5_ChB-0
