canonical_smiles,record_count,target_mean,target_std,target_min,target_max,target_range,decision
C[C@@H]1[C@H](C)N(S(=O)(=O)CCc2ccccc2)CCS1(=O)=O,2,6.0775,0.8591347391416552,5.47,6.685,1.2149999999999999,exclude_conflict
C[C@@H]1CN([C@@H](NC(=O)c2ccco2)C(Cl)(Cl)Cl)C[C@H](C)O1,2,6.636,0.6293250352560277,6.191,7.081,0.8900000000000006,exclude_conflict
C[C@@H](NC(=O)[C@H](C)c1cccs1)c1ccc(Br)cc1,2,6.135,0.5543717164502534,5.743,6.527,0.7839999999999998,exclude_conflict
C[C@H](NC(=O)Nc1ccccc1)C(=O)NC[C@H](C)Oc1ccccc1,2,5.258,0.23193102422918715,5.094,5.422,0.3279999999999994,exclude_conflict
C[C@H]([C@H](C)S(C)(=O)=O)N(C)C(=O)c1cc(Cl)c2ccccc2c1O,2,6.5385,0.17889801564019658,6.412,6.665,0.2530000000000001,exclude_conflict
Cc1cccc(C)c1NC(=O)COC(=O)[C@H]1[C@@H]2C[C@@H]3[C@H]1C(=O)O[C@@H]3C2,2,5.9215,0.16051323932934652,5.808,6.035,0.2270000000000003,exclude_conflict
C[C@@H]1[C@H](C)CCC[C@H]1NC(=O)[C@@H](C)OC(=O)c1cnn(C)c1,2,5.975,0.13010764773832517,5.883,6.067,0.18400000000000016,exclude_conflict
C[C@@H]1[C@H](C)CCC[C@H]1n1c(CCl)nc2cccnc21,2,7.156499999999999,0.1124299782086606,7.077,7.236,0.1589999999999998,exclude_conflict
CNC(=O)c1cccc(NCC(=O)N2[C@H](C)CCC[C@@H]2C)c1C,2,5.7915,0.10677312395916853,5.716,5.867,0.1509999999999998,exclude_conflict
C=CCOc1c(CN2C[C@@H](C)S[C@@H](C)C2)c(C)nn1C,2,7.1095,0.07000357133746835,7.06,7.159,0.0990000000000002,exclude_conflict
C[C@@H]1COC[C@H](C)N1C(=O)CN1C(=O)CSc2ccccc21,2,6.310499999999999,0.05727564927611032,6.27,6.351,0.0810000000000004,exclude_conflict
COc1cccc(C2=C[C@@H](C(=O)N3[C@H](C)CCC[C@@H]3C)N=N2)c1,2,7.016500000000001,0.05161879502661731,6.98,7.053,0.07299999999999951,exclude_conflict
CC(C)(C)c1ccc2occ(CC(=O)Nc3ccccc3F)c2c1,3,5.873,0.03464101615137732,5.833,5.893,0.05999999999999961,exclude_conflict
CC(C)[C@@H](C(=O)NCc1cccnc1)N1C[C@@H](C)O[C@@H](C)C1,2,5.8614999999999995,0.04171930009000673,5.832,5.891,0.05900000000000016,exclude_conflict
C[C@@H]1CC(C(=O)Nc2cccc(Cl)c2SCC(F)F)C[C@H](C)O1,2,6.2265,0.03747665940288729,6.2,6.253,0.052999999999999936,exclude_conflict
C[C@@H]1[C@@H](C)CCC[C@H]1NC(=O)c1cc(S(N)(=O)=O)ccc1F,2,6.6205,0.03181980515339459,6.598,6.643,0.04499999999999993,average_duplicate
C[C@@H]1COC[C@H](C)N1Cc1cc(Cl)c2c(c1)OCCO2,2,6.09,0.029698484809834867,6.069,6.111,0.041999999999999815,average_duplicate
Cc1ccc(S(C)(=O)=O)cc1NC(=O)N1C[C@H](C)C[C@H](C)C1,2,6.122,0.029698484809834867,6.101,6.143,0.041999999999999815,average_duplicate
CC(C)NC(=O)N1C[C@@H]2CN(S(=O)(=O)c3ccccc3)C[C@H](C1)O2,2,6.329000000000001,0.01979898987322272,6.315,6.343,0.02799999999999958,average_duplicate
COc1ccccc1NCc1ccccc1N1C[C@@H](C)O[C@@H](C)C1,2,5.3565000000000005,0.019091883092036566,5.343,5.37,0.027000000000000135,average_duplicate
C[C@@H]1COC[C@H](C)N1C(=O)/C=C/c1ccc(N2CCCS2(=O)=O)cc1,2,6.73,0.015556349186103902,6.719,6.741,0.021999999999999353,average_duplicate
CCOc1ccc(NS(=O)(=O)c2ccc(C(=O)N3C[C@@H](C)O[C@@H](C)C3)cc2)cc1,2,6.816,0.01131370849898477,6.808,6.824,0.016000000000000014,average_duplicate
C[C@@H]1[C@@H](C)CCC[C@H]1NC(=O)c1ccc(NC(=O)C2=CCC(=O)N=C2)cc1,2,7.5765,0.009192388155425047,7.57,7.583,0.0129999999999999,average_duplicate
C[C@@H]1CC(N2CCO[C@H](c3ccc(Br)cc3)[C@@H]2C)C[C@@H](C)O1,2,6.5440000000000005,0.00848528137423795,6.538,6.55,0.011999999999999567,average_duplicate
Cc1cc(C(F)(F)F)ccc1N(c1ccc2c(c1)SC1C=CC(N(c3ccc(C(F)(F)F)cc3)c3ccc(C(F)(F)F)cc3)=CC1S2)c1ccc(C(F)(F)F)cc1C,2,6.689,0.004242640687119446,6.686,6.692,0.006000000000000227,average_duplicate
COC(=O)c1ccc(NC(=O)C2C[C@@H](C)O[C@@H](C)C2)cc1Cl,2,6.513999999999999,0.0014142135623732533,6.513,6.515,0.0019999999999997797,average_duplicate
CC(=O)NC1=CC(=O)c2ccc(C)nc2C1=O,2,8.093,0.0014142135623723114,8.092,8.094,0.0019999999999988916,average_duplicate
